B365Player1,B365Player2,Best of,Date,Player1Pts,Player1Rank,Player1,Player1Sets,Round,Series,Surface,Player2Pts,Player2Rank,Player2,Player2Sets,Winner
1.3,3.4,3,2014-02-06,1330,27,Kohlschreiber P.,0,2nd Round,ATP250,Hard,620,87,Golubev A.,0,Kohlschreiber P.
1.4,2.75,3,2014-02-06,740,63,Sijsling I.,0,2nd Round,ATP250,Hard,382,142,Kuznetsov An.,0,Kuznetsov An.
1.8,1.9,3,2014-02-06,1145,34,Dodig I.,0,2nd Round,ATP250,Hard,667,79,Karlovic I.,0,Dodig I.
2.62,1.44,3,2014-02-06,602,93,Becker B.,0,2nd Round,ATP250,Hard,2435,12,Haas T.,0,Haas T.
2.75,1.4,3,2014-02-07,117,358,Phau B.,0,Quarterfinals,ATP250,Hard,671,78,Sela D.,0,Phau B.
2.5,1.5,3,2014-02-07,1145,34,Dodig I.,0,Quarterfinals,ATP250,Hard,1085,37,Cilic M.,0,Cilic M.
5.0,1.16,3,2014-02-07,362,147,Evans D.,0,Quarterfinals,ATP250,Hard,1330,27,Kohlschreiber P.,0,Evans D.
4.5,1.18,3,2014-02-07,382,142,Kuznetsov An.,0,Quarterfinals,ATP250,Hard,2435,12,Haas T.,0,Haas T.
1.1,7.0,3,2014-02-08,1085,37,Cilic M.,0,Semifinals,ATP250,Hard,117,358,Phau B.,0,Cilic M.
3.5,1.3,3,2014-02-08,362,147,Evans D.,0,Semifinals,ATP250,Hard,2435,12,Haas T.,0,Haas T.
1.5,2.62,3,2014-02-09,1085,37,Cilic M.,0,The Final,ATP250,Hard,2435,12,Haas T.,0,Cilic M.
2.37,1.53,3,2014-02-10,548,103,Bedene A.,0,1st Round,ATP250,Clay,211,231,Granollers M.,0,Granollers M.
2.37,1.53,3,2014-02-10,513,108,Pella G.,0,1st Round,ATP250,Clay,861,52,Garcia-Lopez G.,0,Pella G.
3.5,1.28,3,2014-02-10,907,49,Sousa J.,0,1st Round,ATP250,Clay,915,48,Berlocq C.,0,Berlocq C.
2.25,1.57,3,2014-02-11,981,43,Andujar P.,0,1st Round,ATP250,Clay,744,63,Delbonis F.,0,Andujar P.
3.75,1.25,3,2014-02-11,733,65,Carreno-Busta P.,0,1st Round,ATP250,Clay,1960,17,Robredo T.,0,Robredo T.
1.5,2.5,3,2014-02-11,764,58,Mayer L.,0,1st Round,ATP250,Clay,500,112,Arguello F.,0,Mayer L.
6.0,1.12,3,2014-02-11,587,94,Reister J.,0,1st Round,ATP250,Clay,2260,14,Fognini F.,0,Fognini F.
1.8,1.9,3,2014-02-11,932,46,Haase R.,0,1st Round,ATP250,Clay,430,131,Alund M.,0,Haase R.
2.75,1.4,3,2014-02-11,746,61,Montanes A.,0,1st Round,ATP250,Clay,773,57,Giraldo S.,0,Giraldo S.
1.44,2.62,3,2014-02-11,683,77,Volandri F.,0,1st Round,ATP250,Clay,86,439,Garin C.,0,Volandri F.
11.0,01.05,3,2014-02-11,332,160,Gonzalez M.,0,1st Round,ATP250,Clay,5280,5,Ferrer D.,0,Ferrer D.
3.25,1.33,3,2014-02-12,598,92,Ramos A.,0,1st Round,ATP250,Clay,1000,42,Monaco J.,0,Ramos A.
4.5,1.18,3,2014-02-12,676,78,Gonzalez A.,0,1st Round,ATP250,Clay,940,45,Chardy J.,0,Chardy J.
1.33,3.25,3,2014-02-12,860,53,Dolgopolov O.,0,1st Round,ATP250,Clay,215,230,Cuevas P.,0,Dolgopolov O.
